LocationDesc,Frac_F,CHD_Deaths,CHD_Deaths_F,CHD_Deaths_M,CHDPercentage,CHDPercentage_F,CHDPercentage_M
Louisiana,0.3406022845275182,114.8,39.10114226375909,75.69885773624091,0.001148,0.00039101142263759086,0.0007569885773624091
Maine,0.3173726212400246,54.9,17.423756906077347,37.476243093922655,0.000549,0.00017423756906077348,0.0003747624309392265
Maryland,0.35485651214128033,69.4,24.62704194260486,44.77295805739515,0.0006940000000000001,0.00024627041942604856,0.0004477295805739515
Massachusetts,0.31039640987284967,51.1,15.861256544502618,35.238743455497385,0.0005110000000000001,0.00015861256544502617,0.00035238743455497383
Michigan,0.3423144876325088,102.1,34.950309187279146,67.14969081272085,0.001021,0.00034950309187279147,0.0006714969081272085
Minnesota,0.2969894222945484,48.300000000000004,14.344589096826688,33.955410903173316,0.00048300000000000003,0.00014344589096826688,0.0003395541090317332
Mississippi,0.3320227173438183,145.10000000000002,48.17649628658804,96.92350371341199,0.0014510000000000002,0.00048176496286588043,0.0009692350371341199
Missouri,0.3273520853540252,113.1,37.02352085354025,76.07647914645973,0.0011309999999999998,0.0003702352085354025,0.0007607647914645973
Montana,0.32409972299168976,97.10000000000001,31.470083102493078,65.62991689750693,0.0009710000000000001,0.0003147008310249308,0.0006562991689750693
Nebraska,0.3143631436314363,60.5,19.018970189701896,41.481029810298104,0.000605,0.00019018970189701897,0.00041481029810298104
Nevada,0.3378065710319297,89.3,30.16612679315132,59.133873206848676,0.000893,0.0003016612679315132,0.0005913387320684867
New Hampshire,0.3149243918474688,67.4,21.225904010519397,46.174095989480605,0.000674,0.00021225904010519398,0.00046174095989480604
New Jersey,0.34902411021814006,61.0,21.290470723306544,39.70952927669346,0.00061,0.00021290470723306544,0.0003970952927669346
New Mexico,0.33738738738738744,112.1,37.82112612612613,74.27887387387388,0.001121,0.0003782112612612613,0.0007427887387387388
New York,0.36801705756929637,79.8,29.36776119402985,50.43223880597015,0.000798,0.0002936776119402985,0.0005043223880597015
North Carolina,0.3271861986912552,83.5,27.32004759071981,56.17995240928019,0.000835,0.0002732004759071981,0.0005617995240928019
North Dakota,0.3264705882352941,81.4,26.574705882352944,54.82529411764707,0.000814,0.0002657470588235294,0.0005482529411764707
Ohio,0.3383349467570184,99.4,33.63049370764763,65.76950629235236,0.000994,0.0003363049370764763,0.0006576950629235236
Oklahoma,0.3656557026911576,112.0,40.95343870140965,71.04656129859035,0.00112,0.0004095343870140965,0.0007104656129859034
Oregon,0.29402637703646234,50.2,14.76012412723041,35.43987587276959,0.0005020000000000001,0.0001476012412723041,0.0003543987587276959
Pennsylvania,0.3368421052631579,86.1,29.002105263157894,57.09789473684211,0.0008609999999999999,0.00029002105263157895,0.0005709789473684211
Rhode Island,0.36427238805970147,63.6,23.167723880597013,40.43227611940299,0.0006360000000000001,0.00023167723880597013,0.00040432276119402994
South Carolina,0.3174209547427154,93.4,29.647117172969622,63.75288282703039,0.000934,0.00029647117172969625,0.000637528828270304
South Dakota,0.3193317422434368,104.2,33.27436754176612,70.92563245823389,0.001042,0.0003327436754176612,0.0007092563245823389
Tennessee,0.3310316815597076,140.2,46.410641754671,93.78935824532898,0.0014019999999999998,0.00046410641754671,0.0009378935824532899
Texas,0.33637829124126817,85.9,28.89489521762494,57.00510478237507,0.0008590000000000001,0.0002889489521762494,0.0005700510478237507
Utah,0.3199679230152366,43.6,13.950601443464315,29.649398556535687,0.000436,0.00013950601443464314,0.00029649398556535686
Vermont,0.33069698467622344,91.7,30.32491349480969,61.37508650519031,0.0009170000000000001,0.00030324913494809687,0.0006137508650519031
Virginia,0.34093872229465455,72.8,24.82033898305085,47.97966101694915,0.000728,0.0002482033898305085,0.00047979661016949154
Washington,0.31752055660974066,61.800000000000004,19.622770398481975,42.17722960151803,0.0006180000000000001,0.00019622770398481976,0.0004217722960151803
West Virginia,0.38076622361219703,127.5,48.54769351055512,78.95230648944488,0.001275,0.0004854769351055512,0.0007895230648944488
Wisconsin,0.3123957754307949,79.2,24.741745414118956,54.45825458588105,0.0007920000000000001,0.00024741745414118955,0.0005445825458588105
Wyoming,0.28448275862068967,70.1,19.942241379310346,50.15775862068965,0.0007009999999999999,0.00019942241379310345,0.0005015775862068965
